
Eliminate 0 isolated buses
Eliminate 0 branches
Eliminate 0 generators
Preprocessing complete
Convert input data model
Creating Y matrix of input full model
Do first round reduction eliminating all external buses
10195 external generators are to be placed
Do second round reduction eliminating all external non-generator buses
External generator on bus 4124 is moved to 4238
External generator on bus 4128 is moved to 2818
External generator on bus 4129 is moved to 2818
External generator on bus 4134 is moved to 1317
External generator on bus 4136 is moved to 4238
External generator on bus 4138 is moved to 5545
External generator on bus 4140 is moved to 2744
External generator on bus 4142 is moved to 1317
External generator on bus 4144 is moved to 4238
External generator on bus 4147 is moved to 5545
External generator on bus 4148 is moved to 5545
External generator on bus 4149 is moved to 5545
External generator on bus 4154 is moved to 5545
External generator on bus 4155 is moved to 5545
External generator on bus 4157 is moved to 1317
External generator on bus 4158 is moved to 5545
External generator on bus 4161 is moved to 4238
External generator on bus 4164 is moved to 1317
External generator on bus 4170 is moved to 1317
External generator on bus 4171 is moved to 1317
External generator on bus 4172 is moved to 1317
External generator on bus 4178 is moved to 2818
External generator on bus 4183 is moved to 4238
External generator on bus 4184 is moved to 4238
External generator on bus 4185 is moved to 4238
External generator on bus 4192 is moved to 4238
External generator on bus 4193 is moved to 4238
External generator on bus 4194 is moved to 4238
External generator on bus 4195 is moved to 4238
External generator on bus 4196 is moved to 4238
External generator on bus 4197 is moved to 4238
External generator on bus 4200 is moved to 4238
External generator on bus 4203 is moved to 1317
External generator on bus 4204 is moved to 1317
External generator on bus 4207 is moved to 1317
External generator on bus 4209 is moved to 4238
External generator on bus 4210 is moved to 4238
External generator on bus 4211 is moved to 4238
External generator on bus 4215 is moved to 4238
External generator on bus 4217 is moved to 4238
External generator on bus 4220 is moved to 2818
External generator on bus 4223 is moved to 4238
External generator on bus 4226 is moved to 4238
External generator on bus 4231 is moved to 5545
External generator on bus 4233 is moved to 1317
External generator on bus 4235 is moved to 2818
External generator on bus 4240 is moved to 4238
External generator on bus 4244 is moved to 1317
External generator on bus 4245 is moved to 1317
External generator on bus 4246 is moved to 1317
External generator on bus 4251 is moved to 2818
External generator on bus 4252 is moved to 2818
External generator on bus 4255 is moved to 2818
External generator on bus 4256 is moved to 2818
External generator on bus 4257 is moved to 2818
External generator on bus 4263 is moved to 2818
External generator on bus 4264 is moved to 2818
External generator on bus 4267 is moved to 4238
External generator on bus 4272 is moved to 4238
External generator on bus 4273 is moved to 4238
External generator on bus 4279 is moved to 4238
External generator on bus 4280 is moved to 4238
External generator on bus 4281 is moved to 4238
External generator on bus 4282 is moved to 4238
External generator on bus 4283 is moved to 4238
External generator on bus 4284 is moved to 4238
External generator on bus 4288 is moved to 4238
External generator on bus 4293 is moved to 1317
External generator on bus 4294 is moved to 1317
External generator on bus 4295 is moved to 1317
External generator on bus 4296 is moved to 1317
External generator on bus 4299 is moved to 4238
External generator on bus 4306 is moved to 4238
External generator on bus 4307 is moved to 4238
External generator on bus 4312 is moved to 2818
External generator on bus 4316 is moved to 2744
External generator on bus 4317 is moved to 2744
External generator on bus 4318 is moved to 2744
External generator on bus 4323 is moved to 4238
External generator on bus 4327 is moved to 2818
External generator on bus 4328 is moved to 2818
External generator on bus 4332 is moved to 5545
External generator on bus 4333 is moved to 5545
External generator on bus 4334 is moved to 5545
External generator on bus 4335 is moved to 5545
External generator on bus 4338 is moved to 4238
External generator on bus 4341 is moved to 4238
External generator on bus 4347 is moved to 2818
External generator on bus 4351 is moved to 4238
External generator on bus 4352 is moved to 4238
External generator on bus 4356 is moved to 4238
External generator on bus 4357 is moved to 4238
External generator on bus 4360 is moved to 5545
External generator on bus 4363 is moved to 2818
External generator on bus 4364 is moved to 2818
External generator on bus 4365 is moved to 2818
External generator on bus 4368 is moved to 5545
External generator on bus 4371 is moved to 2744
External generator on bus 4375 is moved to 4238
External generator on bus 4378 is moved to 5545
External generator on bus 4381 is moved to 2818
External generator on bus 4384 is moved to 1317
External generator on bus 4385 is moved to 1317
External generator on bus 4388 is moved to 1317
External generator on bus 4394 is moved to 4238
External generator on bus 4395 is moved to 4238
External generator on bus 4396 is moved to 4238
External generator on bus 4402 is moved to 4238
External generator on bus 4403 is moved to 4238
External generator on bus 4404 is moved to 4238
External generator on bus 4408 is moved to 4238
External generator on bus 4409 is moved to 4238
External generator on bus 4411 is moved to 4238
External generator on bus 4412 is moved to 4238
External generator on bus 4415 is moved to 1317
External generator on bus 4421 is moved to 5545
External generator on bus 4422 is moved to 5545
External generator on bus 4426 is moved to 1317
External generator on bus 4427 is moved to 1317
External generator on bus 4429 is moved to 1317
External generator on bus 4437 is moved to 2744
External generator on bus 4438 is moved to 2744
External generator on bus 4442 is moved to 4238
External generator on bus 4443 is moved to 4238
External generator on bus 4448 is moved to 4238
External generator on bus 4449 is moved to 4238
External generator on bus 4450 is moved to 4238
External generator on bus 4451 is moved to 4238
External generator on bus 4454 is moved to 1317
External generator on bus 4456 is moved to 4238
External generator on bus 4459 is moved to 4238
External generator on bus 4461 is moved to 4238
External generator on bus 4464 is moved to 2744
External generator on bus 4469 is moved to 4238
External generator on bus 4473 is moved to 4238
External generator on bus 4475 is moved to 4238
External generator on bus 4478 is moved to 4238
External generator on bus 4479 is moved to 4238
External generator on bus 4480 is moved to 4238
External generator on bus 4483 is moved to 1317
External generator on bus 4486 is moved to 1317
External generator on bus 4487 is moved to 1317
External generator on bus 4489 is moved to 1317
External generator on bus 4657 is moved to 2818
External generator on bus 4658 is moved to 2818
External generator on bus 4665 is moved to 2818
External generator on bus 4666 is moved to 2818
External generator on bus 4670 is moved to 2818
External generator on bus 4673 is moved to 2818
External generator on bus 4674 is moved to 2818
External generator on bus 4677 is moved to 4238
External generator on bus 4679 is moved to 4238
External generator on bus 4684 is moved to 2818
External generator on bus 4686 is moved to 2818
External generator on bus 4687 is moved to 2818
External generator on bus 4695 is moved to 2818
External generator on bus 4696 is moved to 2818
External generator on bus 4700 is moved to 4238
External generator on bus 4701 is moved to 4238
External generator on bus 4703 is moved to 4238
External generator on bus 4704 is moved to 4238
External generator on bus 4707 is moved to 2818
External generator on bus 4711 is moved to 2818
External generator on bus 4715 is moved to 2818
External generator on bus 4716 is moved to 2818
External generator on bus 4717 is moved to 2818
External generator on bus 5380 is moved to 2818
External generator on bus 5385 is moved to 6353
External generator on bus 5386 is moved to 6353
External generator on bus 5387 is moved to 6353
External generator on bus 5388 is moved to 6353
External generator on bus 5392 is moved to 5545
External generator on bus 5395 is moved to 6353
External generator on bus 5397 is moved to 6353
External generator on bus 5402 is moved to 5545
External generator on bus 5408 is moved to 6353
External generator on bus 5409 is moved to 6353
External generator on bus 5412 is moved to 2767
External generator on bus 5414 is moved to 6353
External generator on bus 5418 is moved to 6353
External generator on bus 5421 is moved to 2818
External generator on bus 5428 is moved to 6353
External generator on bus 5429 is moved to 6353
External generator on bus 5430 is moved to 6353
External generator on bus 5431 is moved to 6353
External generator on bus 5434 is moved to 5545
External generator on bus 5436 is moved to 5545
External generator on bus 5439 is moved to 5545
External generator on bus 5440 is moved to 5545
External generator on bus 5445 is moved to 4238
External generator on bus 5446 is moved to 4238
External generator on bus 5447 is moved to 4238
External generator on bus 5450 is moved to 2818
External generator on bus 5452 is moved to 5545
External generator on bus 5455 is moved to 2767
External generator on bus 5459 is moved to 5545
External generator on bus 5462 is moved to 5545
External generator on bus 5463 is moved to 5545
External generator on bus 5464 is moved to 5545
External generator on bus 5473 is moved to 5545
External generator on bus 5474 is moved to 5545
External generator on bus 5475 is moved to 5545
External generator on bus 5476 is moved to 5545
External generator on bus 5479 is moved to 5545
External generator on bus 5481 is moved to 5545
External generator on bus 5484 is moved to 2767
External generator on bus 5485 is moved to 2767
External generator on bus 5486 is moved to 2767
External generator on bus 5487 is moved to 2767
External generator on bus 5491 is moved to 5545
External generator on bus 5492 is moved to 5545
External generator on bus 5495 is moved to 5545
External generator on bus 5498 is moved to 5545
External generator on bus 5505 is moved to 6353
External generator on bus 5506 is moved to 6353
External generator on bus 5507 is moved to 6353
External generator on bus 5510 is moved to 2767
External generator on bus 5512 is moved to 2744
External generator on bus 5515 is moved to 2767
External generator on bus 5518 is moved to 5545
External generator on bus 5523 is moved to 5545
External generator on bus 5527 is moved to 2818
External generator on bus 5531 is moved to 5545
External generator on bus 5534 is moved to 2767
External generator on bus 5542 is moved to 5545
External generator on bus 5543 is moved to 5545
External generator on bus 5546 is moved to 5545
External generator on bus 5547 is moved to 5545
External generator on bus 5553 is moved to 5545
External generator on bus 5554 is moved to 5545
External generator on bus 5555 is moved to 5545
External generator on bus 5556 is moved to 5545
External generator on bus 5557 is moved to 5545
External generator on bus 5558 is moved to 5545
External generator on bus 5562 is moved to 6353
External generator on bus 5566 is moved to 6353
External generator on bus 5567 is moved to 6353
External generator on bus 5568 is moved to 6353
External generator on bus 5569 is moved to 6353
External generator on bus 5576 is moved to 6353
External generator on bus 5577 is moved to 6353
External generator on bus 5578 is moved to 6353
External generator on bus 5581 is moved to 5545
External generator on bus 5582 is moved to 5545
External generator on bus 5586 is moved to 5545
External generator on bus 5587 is moved to 5545
External generator on bus 5591 is moved to 6353
External generator on bus 5596 is moved to 5545
External generator on bus 5597 is moved to 5545
External generator on bus 5603 is moved to 2767
External generator on bus 5606 is moved to 6353
External generator on bus 5607 is moved to 6353
External generator on bus 5611 is moved to 5545
External generator on bus 5612 is moved to 5545
External generator on bus 5616 is moved to 2767
External generator on bus 5617 is moved to 2767
External generator on bus 5618 is moved to 2767
External generator on bus 5621 is moved to 2818
External generator on bus 5628 is moved to 5545
External generator on bus 5629 is moved to 5545
External generator on bus 5630 is moved to 5545
External generator on bus 5631 is moved to 5545
External generator on bus 5632 is moved to 5545
External generator on bus 5635 is moved to 5545
External generator on bus 5638 is moved to 5545
External generator on bus 5639 is moved to 5545
External generator on bus 5640 is moved to 5545
External generator on bus 5644 is moved to 5545
External generator on bus 5645 is moved to 5545
External generator on bus 5647 is moved to 5545
External generator on bus 5648 is moved to 5545
External generator on bus 5652 is moved to 5545
External generator on bus 5653 is moved to 5545
External generator on bus 5656 is moved to 2767
External generator on bus 5660 is moved to 5545
External generator on bus 5661 is moved to 5545
External generator on bus 5664 is moved to 5545
External generator on bus 5669 is moved to 5545
External generator on bus 5670 is moved to 5545
External generator on bus 6921 is moved to 6353
External generator on bus 6923 is moved to 6353
External generator on bus 6926 is moved to 5725
External generator on bus 6929 is moved to 6353
External generator on bus 6935 is moved to 6934
External generator on bus 6936 is moved to 6934
External generator on bus 6939 is moved to 7274
External generator on bus 6942 is moved to 6353
External generator on bus 6943 is moved to 6353
External generator on bus 6946 is moved to 6353
External generator on bus 6949 is moved to 5725
External generator on bus 6950 is moved to 5725
External generator on bus 6954 is moved to 7211
External generator on bus 6955 is moved to 7211
External generator on bus 6956 is moved to 7211
External generator on bus 6957 is moved to 7211
External generator on bus 6958 is moved to 7211
External generator on bus 6959 is moved to 7211
External generator on bus 6963 is moved to 5725
External generator on bus 6964 is moved to 5725
External generator on bus 6967 is moved to 7211
External generator on bus 6970 is moved to 6353
External generator on bus 6974 is moved to 7259
External generator on bus 6977 is moved to 6934
External generator on bus 6980 is moved to 5725
External generator on bus 6981 is moved to 5725
External generator on bus 6982 is moved to 5725
External generator on bus 6986 is moved to 7274
External generator on bus 6987 is moved to 7274
External generator on bus 6990 is moved to 6752
External generator on bus 6993 is moved to 6353
External generator on bus 6994 is moved to 6353
External generator on bus 6997 is moved to 6353
External generator on bus 7002 is moved to 6353
External generator on bus 7003 is moved to 6353
External generator on bus 7004 is moved to 6353
External generator on bus 7008 is moved to 6353
External generator on bus 7009 is moved to 6353
External generator on bus 7012 is moved to 6353
External generator on bus 7018 is moved to 7211
External generator on bus 7020 is moved to 6934
External generator on bus 7023 is moved to 6353
External generator on bus 7024 is moved to 6353
External generator on bus 7027 is moved to 5725
External generator on bus 7030 is moved to 6353
External generator on bus 7031 is moved to 6353
External generator on bus 7033 is moved to 6353
External generator on bus 7034 is moved to 6353
External generator on bus 7035 is moved to 6353
External generator on bus 7036 is moved to 6353
External generator on bus 7040 is moved to 5725
External generator on bus 7044 is moved to 6934
External generator on bus 7045 is moved to 6934
External generator on bus 7046 is moved to 6934
External generator on bus 7049 is moved to 6353
External generator on bus 7053 is moved to 7259
External generator on bus 7054 is moved to 7259
External generator on bus 7058 is moved to 6353
External generator on bus 7061 is moved to 7211
External generator on bus 7063 is moved to 7211
External generator on bus 7067 is moved to 6353
External generator on bus 7068 is moved to 6353
External generator on bus 7071 is moved to 6934
External generator on bus 7074 is moved to 6353
External generator on bus 7077 is moved to 6353
External generator on bus 7078 is moved to 6353
External generator on bus 7082 is moved to 6752
External generator on bus 7085 is moved to 6353
External generator on bus 7091 is moved to 6353
External generator on bus 7093 is moved to 6934
External generator on bus 7097 is moved to 6353
External generator on bus 7098 is moved to 6353
External generator on bus 7099 is moved to 6353
External generator on bus 7100 is moved to 6353
External generator on bus 7101 is moved to 6353
External generator on bus 7104 is moved to 6353
External generator on bus 7107 is moved to 6353
External generator on bus 7108 is moved to 6353
External generator on bus 7109 is moved to 6353
External generator on bus 7113 is moved to 7211
External generator on bus 7114 is moved to 7211
External generator on bus 7115 is moved to 7211
External generator on bus 7116 is moved to 7211
External generator on bus 7117 is moved to 7211
External generator on bus 7118 is moved to 7211
External generator on bus 7122 is moved to 6353
External generator on bus 7123 is moved to 6353
External generator on bus 7124 is moved to 6353
External generator on bus 7128 is moved to 5725
External generator on bus 7129 is moved to 5725
External generator on bus 7131 is moved to 5725
External generator on bus 7135 is moved to 6934
External generator on bus 7136 is moved to 6934
External generator on bus 7139 is moved to 6353
External generator on bus 7141 is moved to 6353
External generator on bus 7144 is moved to 7274
External generator on bus 7145 is moved to 7274
External generator on bus 7146 is moved to 7274
External generator on bus 7147 is moved to 7274
External generator on bus 7150 is moved to 6353
External generator on bus 7152 is moved to 6353
External generator on bus 7153 is moved to 6353
External generator on bus 7158 is moved to 11616
External generator on bus 7161 is moved to 5725
External generator on bus 7162 is moved to 5725
External generator on bus 7163 is moved to 5725
External generator on bus 7164 is moved to 5725
External generator on bus 7167 is moved to 6353
External generator on bus 7170 is moved to 6353
External generator on bus 7171 is moved to 6353
External generator on bus 7175 is moved to 5725
External generator on bus 7179 is moved to 6353
External generator on bus 7180 is moved to 6353
External generator on bus 7182 is moved to 6353
External generator on bus 7183 is moved to 6353
External generator on bus 7186 is moved to 6353
External generator on bus 7189 is moved to 5725
External generator on bus 7190 is moved to 5725
External generator on bus 7193 is moved to 6353
External generator on bus 7199 is moved to 6752
External generator on bus 7203 is moved to 6353
